gia,khoang_gia_min,khoang_gia_max,thuong_hieu,dong_xe,so_km_da_di,loai_xe,dung_tich_xe,xuat_xu,tuoi_xe,phan_khuc,gia_predict,resid,resid_z,vi_pham_minmax,ngoai_khoang_tin_cay,iso_score,score,is_anomaly
9e-06,74.3,87.23,Honda,SH,4000,Tay ga,100 - 175 cc,Việt Nam,3,trung_cap,71.16,-71.15999099999999,-12.705866134999274,1,1,1,568.2346453999711,1
1.0,75.95,89.16,Honda,SH,1000,Tay ga,100 - 175 cc,Đang cập nhật,1,trung_cap,69.63600000000002,-68.63600000000002,-12.255440531156461,1,1,1,550.2176212462585,1
7.2e-05,62.76,73.68,Honda,SH,9000,Tay ga,100 - 175 cc,Nhật Bản,6,trung_cap,65.87212666666667,-65.87205466666667,-11.76219323124326,1,1,1,530.4877292497305,1
44.0,14.53,17.05,Yamaha,Khác,14000,Tay ga,100 - 175 cc,Nhật Bản,9,pho_thong,10.390999999999996,33.609,8.628879069117817,1,1,1,405.1551627647127,1
18.5,78.55,92.21,Honda,SH,38878,Tay ga,100 - 175 cc,Việt Nam,0,trung_cap,67.44,-48.94,-8.740537865779219,1,0,1,389.6215146311688,1
0.16,38.82,45.57,Honda,SH,80000,Tay ga,100 - 175 cc,Đang cập nhật,10,trung_cap,45.11345678,-44.95345678,-8.029108571017868,1,1,1,381.1643428407148,1
49.55,14.53,17.05,Yamaha,Khác,11000,Tay ga,100 - 175 cc,Nước khác,8,pho_thong,18.559699106666663,30.990300893333334,7.9525599058936915,1,1,1,378.10239623574773,1
60.0,13.97,16.4,Honda,Dream,70000,Xe số,100 - 175 cc,Thái Lan,29,trung_cap,19.1111111,40.8888889,7.290118156889637,1,1,1,351.60472627558556,1
74.0,14.26,16.74,Honda,Dòng khác,1500,Tay ga,100 - 175 cc,Nước khác,0,trung_cap,35.022999999999996,38.977000000000004,6.948926879954466,1,1,1,337.9570751981787,1
45.0,8.55,10.04,Honda,Cub,10000,Xe số,50 - 100 cc,Nhật Bản,28,trung_cap,9.127000000000006,35.87299999999999,6.394994209700049,1,1,1,315.799768388002,1
65.0,13.65,16.03,Honda,Wave,100000,Xe số,100 - 175 cc,Thái Lan,4,trung_cap,29.710000000000004,35.28999999999999,6.290953376337187,1,1,1,311.63813505348753,1
50.0,36.71,43.1,Honda,Air Blade,4000,Tay ga,100 - 175 cc,Việt Nam,2,trung_cap,15.741999999999994,34.25800000000001,6.10678504009281,1,1,1,304.2714016037125,1
61.0,14.53,17.05,Honda,PS,61325,Tay ga,100 - 175 cc,Nước khác,13,trung_cap,26.77580245,34.22419755,6.100752732944084,1,1,1,304.03010931776345,1
46.0,8.92,10.47,Honda,Cub,0,Xe số,Dưới 50 cc,Nhật Bản,29,trung_cap,12.209000000000001,33.791,6.023445298788423,1,1,1,300.937811951537,1
70.0,14.31,16.8,Honda,Wave,30000,Xe số,100 - 175 cc,Việt Nam,3,trung_cap,37.75385952380952,32.24614047619048,5.747753236548807,1,1,1,289.91012946195235,1
50.0,45.48,53.39,Suzuki,Khác,18000,Tay côn/Moto,100 - 175 cc,Trung Quốc,6,pho_thong,22.382599959999997,27.617400040000003,6.22469648582083,0,1,1,288.9878594328332,1
50.0,21.52,25.26,Suzuki,Satria,24000,Tay côn/Moto,100 - 175 cc,Việt Nam,5,pho_thong,24.69099999,25.30900001,5.706669087142251,1,1,1,288.26676348569015,1
64.0,40.54,47.59,Honda,Vario,90000,Tay ga,100 - 175 cc,Nước khác,7,trung_cap,32.14500013000002,31.85499986999998,5.677951187440547,1,1,1,287.11804749762194,1
48.0,41.9,49.18,Yamaha,Exciter,111111,Tay côn/Moto,100 - 175 cc,Đang cập nhật,15,pho_thong,25.13933443333333,22.86066556666667,5.852957035349635,0,1,1,274.1182814139854,1
40.0,15.73,18.46,Yamaha,Exciter,300,Tay côn/Moto,100 - 175 cc,Việt Nam,8,pho_thong,17.74299999999999,22.25700000000001,5.6970511544961076,1,0,1,267.88204617984434,1
60.0,74.21,87.11,Honda,SH,100000,Tay ga,100 - 175 cc,Nước khác,2,trung_cap,31.28649379666667,28.71350620333333,5.117327484037201,1,1,1,264.69309936148807,1
60.0,49.74,58.4,Honda,CBR,24000,Tay côn/Moto,100 - 175 cc,Trung Quốc,4,trung_cap,31.8418999,28.1581001,5.018210993735966,1,1,1,260.72843974943873,1
